month,cargo_type_primary,cargo_type_secondary,cargo_throughput
1995-01,General Cargo,Containerised,12405.51
1995-01,General Cargo,Conventional,1160.21
1995-01,Bulk Cargo,Oil,10530.74
1995-01,Bulk Cargo,Non-Oil Bulk,774.62
1995-02,General Cargo,Containerised,11260.47
1995-02,General Cargo,Conventional,1014.65
1995-02,Bulk Cargo,Oil,10065.75
1995-02,Bulk Cargo,Non-Oil Bulk,613.98
1995-03,General Cargo,Containerised,12957.58
1995-03,General Cargo,Conventional,1218.86
1995-03,Bulk Cargo,Oil,10517.28
1995-03,Bulk Cargo,Non-Oil Bulk,700.33
1995-04,General Cargo,Containerised,12832.52
1995-04,General Cargo,Conventional,1308.72
1995-04,Bulk Cargo,Oil,10233.79
1995-04,Bulk Cargo,Non-Oil Bulk,701.64
1995-05,General Cargo,Containerised,12975.28
1995-05,General Cargo,Conventional,1399.94
1995-05,Bulk Cargo,Oil,10652.91
1995-05,Bulk Cargo,Non-Oil Bulk,796.16
1995-06,General Cargo,Containerised,12819.59
1995-06,General Cargo,Conventional,1311.69
1995-06,Bulk Cargo,Oil,10368.99
1995-06,Bulk Cargo,Non-Oil Bulk,817.98
1995-07,General Cargo,Containerised,13186.95
1995-07,General Cargo,Conventional,1335.06
1995-07,Bulk Cargo,Oil,10685.42
1995-07,Bulk Cargo,Non-Oil Bulk,768.47
1995-08,General Cargo,Containerised,13518.81
1995-08,General Cargo,Conventional,1374.14
1995-08,Bulk Cargo,Oil,11342.41
1995-08,Bulk Cargo,Non-Oil Bulk,990.87
1995-09,General Cargo,Containerised,12616.77
1995-09,General Cargo,Conventional,1305.27
1995-09,Bulk Cargo,Oil,10388.43
1995-09,Bulk Cargo,Non-Oil Bulk,843.49
1995-10,General Cargo,Containerised,13527.34
1995-10,General Cargo,Conventional,1329.86
1995-10,Bulk Cargo,Oil,10436.71
1995-10,Bulk Cargo,Non-Oil Bulk,817.14
1995-11,General Cargo,Containerised,12737.88
1995-11,General Cargo,Conventional,1218.05
1995-11,Bulk Cargo,Oil,10587.92
1995-11,Bulk Cargo,Non-Oil Bulk,699.98
1995-12,General Cargo,Containerised,13661.41
1995-12,General Cargo,Conventional,1268.33
1995-12,Bulk Cargo,Oil,10564.63
1995-12,Bulk Cargo,Non-Oil Bulk,839.45
1996-01,General Cargo,Containerised,13121.24
1996-01,General Cargo,Conventional,1183.14
1996-01,Bulk Cargo,Oil,10682.36
1996-01,Bulk Cargo,Non-Oil Bulk,821.64
1996-02,General Cargo,Containerised,11883.3
1996-02,General Cargo,Conventional,996.23
1996-02,Bulk Cargo,Oil,10166.59
1996-02,Bulk Cargo,Non-Oil Bulk,693.48
1996-03,General Cargo,Containerised,13127.25
1996-03,General Cargo,Conventional,1240.96
1996-03,Bulk Cargo,Oil,11269.96
1996-03,Bulk Cargo,Non-Oil Bulk,807.96
1996-04,General Cargo,Containerised,13249.9
1996-04,General Cargo,Conventional,1251.29
1996-04,Bulk Cargo,Oil,11663.27
1996-04,Bulk Cargo,Non-Oil Bulk,781.24
1996-05,General Cargo,Containerised,13176.76
1996-05,General Cargo,Conventional,1193.59
1996-05,Bulk Cargo,Oil,11254.39
1996-05,Bulk Cargo,Non-Oil Bulk,677.55
1996-06,General Cargo,Containerised,13227.34
1996-06,General Cargo,Conventional,1290.42
1996-06,Bulk Cargo,Oil,11005.78
1996-06,Bulk Cargo,Non-Oil Bulk,833.06
1996-07,General Cargo,Containerised,14110.04
1996-07,General Cargo,Conventional,1289.09
1996-07,Bulk Cargo,Oil,11023.5
1996-07,Bulk Cargo,Non-Oil Bulk,834.52
1996-08,General Cargo,Containerised,13691.31
1996-08,General Cargo,Conventional,1225.72
1996-08,Bulk Cargo,Oil,10338.8
1996-08,Bulk Cargo,Non-Oil Bulk,779.46
1996-09,General Cargo,Containerised,13520.41
1996-09,General Cargo,Conventional,1165.09
1996-09,Bulk Cargo,Oil,11146.28
1996-09,Bulk Cargo,Non-Oil Bulk,818.91
1996-10,General Cargo,Containerised,13941.39
1996-10,General Cargo,Conventional,1326.69
1996-10,Bulk Cargo,Oil,10072.17
1996-10,Bulk Cargo,Non-Oil Bulk,707.9
1996-11,General Cargo,Containerised,13402.84
1996-11,General Cargo,Conventional,1313.92
1996-11,Bulk Cargo,Oil,10417.33
1996-11,Bulk Cargo,Non-Oil Bulk,693.02
1996-12,General Cargo,Containerised,13826.97
1996-12,General Cargo,Conventional,1328.35
1996-12,Bulk Cargo,Oil,10837.29
1996-12,Bulk Cargo,Non-Oil Bulk,754.34
1997-01,General Cargo,Containerised,13428.91
1997-01,General Cargo,Conventional,1305.74
1997-01,Bulk Cargo,Oil,10010.92
1997-01,Bulk Cargo,Non-Oil Bulk,1005.03
